Document_No,Topic_Num,Topic_Perc_Contrib,Keywords,Text,Title,url
127948,1.0,0.8472999930381775,"increase, lockdown, period, number, country, change, time, impact, decrease, level",we investigate the historical series of the total number of deaths per month in brazil since 2015 using the wavelet transform in order to assess whether the covid-19 pandemic caused any change point in that series our wavelet analysis shows that the series has a change point in the variance however it occurred long before the pandemic began,Covid 19 and A Wavelet Analysis of the Total Deaths per Month in Brazil since 2015,https://arxiv.org/pdf/2009.00648v1.pdf
119533,1.0,0.8457000255584717,"increase, lockdown, period, number, country, change, time, impact, decrease, level",abstract lockdown measures to contain covid-19 pandemic has resulted in a considerable change in air pollution worldwide we estimate the temporal and diurnal changes of the six criteria air pollutants including particulate matter (pm25 and pm10) and gaseous pollutants (no2 o3 co and so2) during lockdown (25th march – 3rd mha 2020) across regions of india using the observations from 134 real-time monitoring sites of central pollution control board (cpcb) significant reduction in pm25 pm10 no2 and co has been found in all the regions during the lockdown so2 showed mixed behavior with a slight increase at some sites but a comparatively significant decrease at other locations o3 also showed a mixed variation with a mild increase in igp and a decrease in the south the absolute decrease in pm25 pm10 and no2 was observed during peak morning traffic hours (08-10 hrs) and late evening (20-24 hrs) but the percentage reduction is almost constant throughout the day a significant decrease in day-time o3 has been found over indo gangetic plain (igp) and central india whereas night-time o3 has increased over igp due to less o3 loss the most significant reduction (∼40-60%) was found in pm25 and pm10 the highest decrease in pm was found for the north-west and igp followed by south and central regions a considerable reduction (∼30-70%) in no2 was found except for a few sites in the central region a similar pattern was observed for co having a ∼20-40% reduction the reduction observed for pm25 pm10 no2 and enhancement in o3 was proportional to the population density delhi’s air quality has improved with a significant reduction in primary pollutants however an increase in o3 was observed the changes reported during the lockdown are combined effect of changes in the emissions meteorology and atmospheric chemistry that requires detailed investigations,Diurnal and temporal changes in air pollution during COVID-19 strict lockdown over different regions of India,https://www.sciencedirect.com/science/article/pii/S0269749120360565?v=s5; https://api.elsevier.com/content/article/pii/S0269749120360565; https://doi.org/10.1016/j.envpol.2020.115368; https://www.ncbi.nlm.nih.gov/pubmed/32829030/
209710,1.0,0.8331999778747559,"increase, lockdown, period, number, country, change, time, impact, decrease, level",after steep drops and then rebounds in transportation-related co$_2$ emissions over the first half of 2020 a second wave of covid-19 this fall has caused further -- but less substantial -- emissions reductions here we use near-real-time estimates of daily emissions to explore differences in human behavior and restriction policies over the course of 2020,Transportation CO$_2$ emissions stayed high despite recurrent COVID outbreaks,https://arxiv.org/pdf/2101.06450v1.pdf
104465,1.0,0.8241000175476074,"increase, lockdown, period, number, country, change, time, impact, decrease, level",first time in india total lockdown was announced on 22 march 2020 to stop the spread of covid-19 and the lockdown was extended for 21 days on 24 march 2020 in the first phase during the total lockdown most of the sources for poor air quality were stopped in india in this paper we present an analysis of air quality (particulate matter-pm(25) air quality index and tropospheric no(2)) over india using ground and satellite observations a pronounced decline in pm(25) and aqi (air quality index) is observed over delhi mumbai hyderabad kolkata and chennai and also a declining trend was observed in tropospheric no(2) concentration during the lockdown period in 2020 compared with the same period in the year 2019 during the total lockdown period the air quality has improved significantly which provides an important information to the cities’ administration to develop rules and regulations on how they can improve air quality,Impact of lockdown on air quality in India during COVID-19 pandemic,https://doi.org/10.1007/s11869-020-00863-1; https://www.ncbi.nlm.nih.gov/pubmed/32837613/
146938,1.0,0.8238999843597412,"increase, lockdown, period, number, country, change, time, impact, decrease, level",between march and may 2020 japan experienced a lockdown due to the covid-19 crisis empty roads possibly triggered speed-related traffic violations that caused fatal motor vehicle collisions (mvcs) using police data on the monthly number of fatal mvcs between january 2010 and february 2020 in which motor vehicle drivers were at fault we forecasted the numbers of fatal mvcs due to the speed-related violations during the lockdown and compared these with those observed we also compared the observed to forecasted using the ratio of the number of speed-related fatal mvcs to that of non-speed related fatal mvcs the observed numbers of speed-related fatal mvcs were within the 95% cis of the forecasted numbers the observed ratio was higher than the forecasted ratio in april (p=0016) in the second month of the lockdown drivers were more likely to commit speed-related violations that caused fatal mvcs than before the lockdown,COVID-19 lockdown and fatal motor vehicle collisions due to speed-related traffic violations in Japan: a time-series study.,https://doi.org/10.1136/injuryprev-2020-043947; https://www.ncbi.nlm.nih.gov/pubmed/33067222/
113882,1.0,0.8198000192642212,"increase, lockdown, period, number, country, change, time, impact, decrease, level",two major sealing events scheduled to take place in october this year have been affected by the coronavirus pandemic,COVID affects two major sealing events scheduled to take place this year,https://api.elsevier.com/content/article/pii/S1350478920302130; https://www.sciencedirect.com/science/article/pii/S1350478920302130
107573,1.0,0.8145999908447266,"increase, lockdown, period, number, country, change, time, impact, decrease, level",covid-19 pandemic has adversely affected all the aspects of life in adverse manner; however a significant improvement has been observed in the air quality due to restricted human activities amidst lockdown present study reports a comparison of air quality between the lockdown duration and before the lockdown duration in seven selected cities (ajmer alwar bhiwadi jaipur jodhpur kota and udaipur) of rajasthan (india) the period of analysis is 10 march 2020 to 20 march 2020 (before lockdown period) versus 25 march to 17 may 2020 (during lockdown period divided into three phases) in order to understand the variations in the level of pollutant accumulation amid the lockdown period a trend analysis is performed for 24 h daily average data for five pollutants (pm(25) pm(10) no(2) so(2) and ozone) [figure see text],Epigrammatic study on the effect of lockdown amid Covid-19 pandemic on air quality of most polluted cities of Rajasthan (India),https://www.ncbi.nlm.nih.gov/pubmed/32837616/; https://doi.org/10.1007/s11869-020-00879-7
256927,1.0,0.8126000165939331,"increase, lockdown, period, number, country, change, time, impact, decrease, level",this study investigates the changes of short-lived climate pollutants and other air pollutants during the covid-19 pandemic in tehran iran concentrations of air pollutants were obtained from 21 monitoring stations for the period from 5 january 2019 to 5 august 2019 representing normal conditions unaffected by covid-19 and the period 5 january 2020 to 5 august 2020 ie during the covid-19 crisis we concentrated our analysis on three time windows (23 february 2020 to 15 march 2020 18 march 2020 to 3 april 2020 and 5 april 2020 to 17 april 2020) during the lockdown when different sets of measures were taken to limit the spread of covid-19 in comparison to the period not affected by covid-19 measures mean concentrations of pollutants were increased during the first lockdown period; when the number of covid-19 patients increased sharply compared to the other periods the mean surface concentrations of no(2) so(2) and co were decreased and concentrations of other pollutants (ie o(3) pm(10) and pm(25)) were increased during the second lockdown period compared to the corresponding period in 2019 in the third period the mean concentrations were decreased compared to the corresponding period in 2019 for the full period decreases in mean concentrations of o(3) no(2) so(2) co and pm(10) and increases in pm(25) were observed during the covid-19 crisis compared to 2019 overall the strongest reductions 12% and 6% respectively were observed for co and no(2) pointing to reduced emissions from traffic as a result of lockdown measures the concentrations of other pollutants changed little suggesting that the lockdown measures did not result in strong changes in the emissions from stationary sources,"Changes in short-lived climate pollutants during the COVID-19 pandemic in Tehran, Iran",https://doi.org/10.1007/s10661-021-09096-w; https://www.ncbi.nlm.nih.gov/pubmed/33966107/
205436,1.0,0.8116000294685364,"increase, lockdown, period, number, country, change, time, impact, decrease, level",the aim of this study is to examine the daily return spillover among 18 cryptocurrencies under low and high volatility regimes while considering three pricing factors and the effect of the covid-19 outbreak to do so we apply a markov regime-switching (ms) vector autoregressive with exogenous variables (varx) model to a daily dataset from 25-july-2016 to 1-april-2020 the results indicate various patterns of spillover in high and low volatility regimes especially during the covid-19 outbreak the total spillover index varies with time and abruptly intensifies following the outbreak of covid-19 especially in the high volatility regime notably the network analysis reveals further evidence of much higher spillovers in the high volatility regime during the covid-19 outbreak which is consistent with the notion of contagion during stress periods,Regime specific spillover across cryptocurrencies and the role of COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7786164/
104080,1.0,0.8070999979972839,"increase, lockdown, period, number, country, change, time, impact, decrease, level",see related reply see related reply,Face masks for community use: An awareness call to the differences in materials,https://www.ncbi.nlm.nih.gov/pubmed/32744768/; https://doi.org/10.1111/resp.13891
103978,1.0,0.8070999979972839,"increase, lockdown, period, number, country, change, time, impact, decrease, level",see related reply see related reply,"Universal public mask wear during COVID‐19 pandemic: Rationale, design and acceptability",https://doi.org/10.1111/resp.13892; https://www.ncbi.nlm.nih.gov/pubmed/32779805/
239791,1.0,0.8057000041007996,"increase, lockdown, period, number, country, change, time, impact, decrease, level","countries around the world introduced strict restrictions on movement and activities known as 'lockdowns' to restrict the spread of the novel coronavirus disease (covid-19) from the end of 2019 a sudden improvement in air quality was observed globally as a result of these lockdowns to provide insight into the changes in air pollution levels in response to the covid-19 restrictions we have compared surface air quality data in delhi during four phases of lockdown and the first phase of the restriction easing period (25 march to 30 june 2020) with data from a baseline period (2018-2019) simultaneously short-term exposure of pm25 and o3 attributed premature mortality were calculated to understand the health benefit of the change in air quality ground-level observations in delhi showed that concentrations of pm10 pm25 and no2 dropped substantially in 2020 during the overall study period compared with the same period in previous years with average reductions of ~49% ~39% and ~39% respectively an overall lower reduction in o3 of ~19% was observed for delhi a slight increase in o3 was found in delhi's industrial and traffic regions the highest peak of the diurnal variation decreased substantially for all the pollutants at every phase the decrease in pm25 and o3 concentrations in 2020 prevented 904 total premature deaths a 60% improvement when compared to the figures for 2018-2019 the restrictions on human activities during the lockdown have reduced anthropogenic emissions and subsequently improved air quality and human health in one of the most polluted cities in the world implication statementi am submitting herewith the manuscript entitled ""unprecedented reduction in air pollution and corresponding short-term premature mortality associated with covid-19 forced confinement in delhi india"" for potential publishing in your journalthe novelty of this research lies in (1) we utilized ground-level air quality data in delhi during four phases of lockdown and the first phase of unlocking period (25th march to 30th june) for 2020 as well as data from the baseline period (2018-2019) to provide an early insight into the changes in air pollution levels in response to the covid-19 pandemic (2) chatarize the change of diurnal variation of the pollutants and (3) we assess the health risk due to pm25 and o3 results from ground-level observations in delhi showed that concentrations of pm10 pm25 and no2 substantially dropped in 2020 during the overall study period compared to the similar period in previous years with an average reduction of ~49% ~39% and ~39% respectively in the case of o3 the overall reduction was observed as ~19% in delhi while a slight increase was found in industrial and traffic regions and consequently the highest peak of the diurnal variation decreased substantially for all the pollutants the health impact assessment of the changes in air quality indicated that 904 short-term premature deaths (~60%) were prevented due to the decline in pm25 and o3 concentrations in the study period the restrictions on human activities during the lockdown have reduced the anthropogenic emissions and subsequently improved air quality and human health in one of the most polluted cities in the world","Unprecedented Reduction in Air Pollution and Corresponding Short-term Premature Mortality Associated with COVID-19 Lockdown in Delhi, India.",https://doi.org/10.1080/10962247.2021.1905104; https://www.ncbi.nlm.nih.gov/pubmed/33764280/
